   id, time,  addr, rssi,  ave, lane
  144,  927, 65:02,  -97,  -95,    1
  145, 1917, 65:02,  -95,  -96,    1
  146,  485, 65:02,  -93,  -94,    1
  147,  474, 65:02,  -93,  -93,    1
  148,  487, 65:02,  -97,  -95,    1
  149, 1442, 65:02, -103, -100,    1
  150,  954, 65:02,  -95,  -99,    1
  151, 1925, 65:02,  -96,  -95,    1
  152,  482, 65:02,  -96,  -96,    1
  153,  952, 65:02,  -95,  -95,    1
  154,  962, 65:02,  -93,  -94,    1
  155, 2402, 65:02,  -96,  -94,    1
  156,  485, 65:02,  -96,  -96,    1
  157,  957, 65:02,  -96,  -96,    1
  158,  963, 65:02, -100,  -98,    1
  159, 3099, xx:xx, -120, -110,    1
  160, 3096, xx:xx, -120, -120,    1
  161, 3148, xx:xx, -120, -120,    1
  162, 2174, 65:02,  -97, -108,    1
  163, 3102, xx:xx, -120, -108,    1
  164, 3098, xx:xx, -120, -120,    1
  165, 3101, xx:xx, -120, -120,    1
  166, 1256, 65:02,  -94, -107,    1
  167,  481, 65:02, -100,  -97,    1
  168,  482, 65:02,  -93,  -96,    1
  169, 1914, 65:02,  -95,  -94,    1
  170,  494, 65:02,  -99,  -97,    1
  171,  470, 65:02,  -91,  -95,    1
  172,  957, 65:02,  -95,  -93,    1
  173, 2880, 65:02,  -92,  -93,    1
  174,  480, 65:02,  -91,  -91,    2
  175,  480, 65:02,  -93,  -92,    2
  176,  483, 65:02,  -93,  -93,    2
  177,  474, 65:02,  -95,  -94,    2
  178, 1936, 65:02,  -98,  -96,    2
  179,  466, 65:02,  -91,  -94,    2
  180,  477, 65:02,  -94,  -92,    2
  181,  969, 65:02, -101,  -97,    2
  182,  474, 65:02, -101, -101,    2
  183, 1447, 65:02,  -88,  -94,    2
  184,  960, 65:02,  -88,  -88,    2
  185, 2393, 65:02,  -96,  -92,    2
  186,  968, 65:02,  -97,  -96,    2
  187, 3105, xx:xx, -120, -108,    2
  188,  257, 65:02,  -96, -108,    2
  189, 2878, 65:02, -101,  -98,    2
  190,  953, 65:02,  -93,  -97,    2
  191,  959, 65:02, -103,  -98,    2
  192, 3102, xx:xx, -120, -111,    2
  193, 3103, xx:xx, -120, -120,    2
  194, 3107, xx:xx, -120, -120,    2
  195, 3108, xx:xx, -120, -120,    2
  196, 2946, 65:02,  -96, -108,    2
  197, 3109, xx:xx, -120, -108,    2
  198,  246, 65:02,  -99, -109,    2
  199, 3108, xx:xx, -120, -109,    2
  200, 3114, xx:xx, -120, -120,    2
  201, 1462, 65:02,  -99, -109,    2
  202, 3105, xx:xx, -120, -109,    2
  203,  257, 65:02,  -91, -105,    2
  204, 1915, 65:02, -101,  -96,    2
  205,  481, 65:02,  -94,  -97,    2
  206,  971, 65:02,  -97,  -95,    2
  207,  475, 65:02,  -95,  -96,    2
  208,  950, 65:02,  -98,  -96,    2
  209, 1446, 65:02,  -97,  -97,    2
  210,  479, 65:02,  -90,  -93,    3
