Name, Major-Minor, RSSI, Distance
widmedia.ch, 10011-19641, -34, 0.010890643668188604
widmedia.ch, 10011-19641, -34, 0.008150087576835632
widmedia.ch, 10011-19641, -34, 0.008150087576835632
widmedia.ch, 10011-19641, -34, 0.008150087576835632
widmedia.ch, 10011-19641, -36, 0.009431137047278203
widmedia.ch, 10011-19641, -34, 0.009161308982085769
widmedia.ch, 10011-19641, -34, 0.008985304614967448
widmedia.ch, 10011-19641, -36, 0.009628227972079129
widmedia.ch, 10011-19641, -34, 0.008985304614967448
widmedia.ch, 10011-19641, -34, 0.008861456747222867
widmedia.ch, 10011-19641, -40, 0.008985304614967448
widmedia.ch, 10011-19641, -32, 0.008861456747222867
widmedia.ch, 10011-19641, -35, 0.009431137047278203
widmedia.ch, 10011-19641, -35, 0.009896780788583774
widmedia.ch, 10011-19641, -40, 0.012300124665753425
widmedia.ch, 10011-19641, -35, 0.010383014543516415
widmedia.ch, 10011-19641, -36, 0.011420500948255476
widmedia.ch, 10011-19641, -40, 0.013871707406315915
widmedia.ch, 10011-19641, -35, 0.014434379280972034
widmedia.ch, 10011-19641, -35, 0.014434379280972034
widmedia.ch, 10011-19641, -40, 0.016896329025365663
widmedia.ch, 10011-19641, -35, 0.014434379280972034
widmedia.ch, 10011-19641, -58, 0.020502073130149758
widmedia.ch, 10011-19641, -49, 0.02269577371277504
widmedia.ch, 10011-19641, -54, 0.033538159355969224
widmedia.ch, 10011-19641, -58, 0.11830322808576663
widmedia.ch, 10011-19641, -49, 0.157359326494538
widmedia.ch, 10011-19641, -48, 0.23433385654545832
widmedia.ch, 10011-19641, -55, 0.4198940869036489
widmedia.ch, 10011-19641, -49, 0.5401052642524372
widmedia.ch, 10011-19641, -49, 0.5552121421125982
widmedia.ch, 10011-19641, -48, 0.4548403600944565
widmedia.ch, 10011-19641, -57, 0.5401052642524372
widmedia.ch, 10011-19641, -48, 0.4198940869036489
