1275,-67
483,-65
481,-60
472,-65
485,-69
475,-63
482,-66
478,-62
482,-69
484,-65
484,-69
477,-58
479,-65
479,-74
958,-66
959,-72
486,-71
473,-72
478,-71
480,-68
478,-72
501,-68
458,-70
480,-73
490,-81
477,-73
480,-70
482,-76
1440,-82
473,-82
485,-84
481,-81
473,-82
967,-78
473,-84
492,-82
470,-85
487,-88
479,-90
477,-95
473,-84
488,-86
479,-81
481,-78
482,-81
478,-81
474,-90
508,-91
458,-92
478,-79
479,-72
479,-78
481,-78
477,-75
483,-79
991,-73
477,-68
454,-88
483,-77
476,-81
481,-86
477,-79
481,-86
485,-96
478,-84
473,-89
485,-85
481,-91
1441,-88
480,-83
486,-81
471,-87
962,-83
476,-89
517,-84
471,-80
455,-86
983,-94
464,-83
948,-90
484,-83
503,-85
935,-77
486,-70
481,-76
952,-79
480,-70
489,-73
956,-73
509,-73
447,-73
482,-84
508,-90
936,-97
1434,-89
508,-97
460,-95
477,-93
481,-85
955,-99
489,-88
475,-95
502,-90
453,-94
482,-99
1444,-101
482,-100
3131,-120
227,-99
475,-100
482,-99
2401,-95
3115,-120
244,-95
3088,-120
3087,-120
3088,-120
3091,-120
1113,-102
2377,-98
961,-101
953,-96
961,-98
481,-95
486,-95
478,-91
961,-98
1436,-95
957,-94
964,-93
956,-97
483,-95
955,-91
485,-85
955,-89
481,-97
482,-98
484,-90
960,-94
992,-91
442,-98
502,-86
1423,-92
1470,-93
927,-97
1917,-95
485,-93
474,-93
487,-97
1442,-103
954,-95
1925,-96
482,-96
952,-95
962,-93
2402,-96
485,-96
957,-96
963,-100
3099,-120
3096,-120
3148,-120
2174,-97
3102,-120
3098,-120
3101,-120
1256,-94
481,-100
482,-93
1914,-95
494,-99
470,-91
957,-95
2880,-92
480,-91
480,-93
483,-93
474,-95
1936,-98
466,-91
477,-94
969,-101
474,-101
1447,-88
960,-88
2393,-96
968,-97
3105,-120
257,-96
2878,-101
953,-93
959,-103
3102,-120
3103,-120
3107,-120
3108,-120
2946,-96
3109,-120
246,-99
3108,-120
3114,-120
1462,-99
3105,-120
257,-91
1915,-101
481,-94
971,-97
475,-95
950,-98
1446,-97
479,-90
966,-98
1435,-89
955,-97
485,-98
1439,-97
955,-100
492,-91
952,-96
960,-91
1446,-96
962,-96
2876,-94
2403,-100
3110,-120
1210,-97
3090,-120
3090,-120
3088,-120
3085,-120
3092,-120
2307,-94
2893,-94
955,-101
965,-100
951,-99
1916,-101
2405,-93
954,-95
3088,-120
764,-99
472,-94
483,-100
481,-96
1916,-87
500,-91
1420,-93
478,-98
478,-86
478,-91
494,-90
1428,-101
965,-100
476,-88
2400,-99
1442,-99
499,-93
3098,-120
3095,-120
990,-99
1920,-102
1921,-96
3104,-120
273,-99
458,-100
3102,-120
3097,-120
3107,-120
3099,-120
3096,-120
348,-99
3112,-120
238,-94
964,-97
1921,-95
958,-91
959,-100
2881,-99
480,-90
963,-90
1438,-87
481,-86
474,-93
1460,-87
471,-97
961,-84
476,-93
1452,-100
464,-93
476,-101
2404,-92
478,-94
984,-89
2874,-97
954,-99
3105,-120
255,-89
2868,-101
3156,-120
3100,-120
3109,-120
235,-98
3105,-120
2657,-100
960,-99
3107,-120
1216,-96
959,-97
3120,-120
237,-94
503,-95
943,-95
1914,-91
486,-93
477,-98
2885,-94
1436,-101
1920,-98
964,-98
1437,-102
497,-90
968,-96
1420,-92
958,-95
471,-92
1929,-96
3104,-120
1703,-97
477,-98
1914,-97
1456,-97
3130,-120
697,-101
961,-103
3102,-120
3084,-120
1966,-97
3093,-120
3085,-120
3101,-120
810,-98
470,-99
3107,-120
1218,-98
2395,-98
490,-92
468,-94
2409,-90
471,-98
971,-91
1438,-100
2397,-84
480,-99
483,-91
473,-91
485,-96
477,-90
967,-93
2399,-93
495,-88
940,-91
2402,-95
2884,-98
952,-94
2883,-97
1454,-100
2396,-99
3095,-120
2654,-98
2397,-97
3097,-120
3093,-120
3094,-120
3097,-120
620,-98
1892,-101
2395,-97
2391,-95
489,-90
1913,-95
1438,-99
968,-93
475,-96
484,-97
2881,-84
481,-85
502,-95
1418,-93
473,-89
485,-96
476,-97
1463,-94
463,-92
962,-92
953,-93
971,-97
472,-97
3103,-120
1215,-95
483,-94
3096,-120
266,-100
3150,-120
2127,-97
3103,-120
3103,-120
3113,-120
2690,-94
3117,-120
711,-98
2880,-99
3123,-120
718,-98
2879,-94
481,-95
484,-102
480,-95
3104,-120
253,-100
483,-92
479,-92
1921,-100
480,-99
477,-91
1917,-84
959,-93
485,-98
3107,-120
728,-97
966,-92
477,-97
990,-98
2848,-96
1921,-97
1440,-96
3114,-120
3118,-120
3107,-120
3110,-120
3108,-120
2686,-98
3107,-120
254,-98
2906,-99
450,-100
3089,-120
1236,-97
2878,-87
478,-96
1924,-101
961,-100
487,-93
977,-92
453,-97
478,-94
1925,-95
476,-89
2882,-90
1918,-96
479,-95
486,-92
3091,-120
1703,-91
3091,-120
3093,-120
2939,-97
3118,-120
1685,-101
3141,-120
3089,-120
2412,-99
967,-100
3092,-120
258,-95
2881,-97
3108,-120
732,-100
972,-91
955,-98
1436,-96
474,-90
500,-91
1430,-97
952,-97
484,-92
957,-98
475,-95
2882,-91
483,-90
483,-95
1439,-90
2875,-98
484,-95
491,-95
2390,-92
1452,-95
466,-100
484,-95
1911,-103
964,-94
3112,-120
255,-94
2889,-95
1428,-93
3111,-120
245,-97
3109,-120
3099,-120
3101,-120
286,-98
3159,-120
689,-102
3104,-120
3102,-120
3102,-120
766,-97
512,-93
453,-101
2401,-101
474,-95
969,-99
477,-88
960,-97
1922,-91
471,-91
485,-92
2908,-99
1411,-96
964,-94
477,-95
965,-100
1439,-93
952,-98
2910,-96
934,-94
3109,-120
253,-96
3244,-120
596,-97
3107,-120
1703,-98
3107,-120
3106,-120
3105,-120
3107,-120
2458,-97
3107,-120
3120,-94
1442,-93
475,-95
484,-95
479,-95
478,-99
474,-97
2422,-89
2881,-96
461,-90
1923,-98
1917,-98
2400,-96
481,-95
1920,-90
1442,-97
957,-104
2891,-98
2389,-91
959,-101
478,-99
3092,-120
3097,-120
1021,-96
3094,-120
3092,-120
2453,-100
955,-104
3094,-120
3094,-120
2466,-102
1430,-99
958,-92
484,-96
962,-99
1430,-99
479,-96
484,-93
1439,-94
1436,-98
967,-89
472,-95
973,-99
1912,-90
482,-88
475,-93
2884,-91
2904,-88
941,-96
959,-99
471,-95
971,-89
471,-98
2424,-100
463,-97
1434,-100
3096,-120
3096,-120
532,-98
3100,-120
260,-96
3147,-120
2621,-98
3097,-120
256,-98
3098,-120
3102,-120
1972,-93
2383,-101
1918,-100
2399,-94
481,-93
494,-95
949,-100
1441,-96
1442,-90
483,-94
2393,-92
487,-91
478,-89
954,-99
968,-93
486,-93
476,-97
2875,-97
479,-95
2402,-95
1434,-94
488,-98
2392,-98
487,-98
2877,-102
476,-92
2889,-98
1920,-98
1446,-98
1431,-97
3105,-120
3106,-120
3101,-120
282,-99
3112,-120
2176,-98
1920,-97
3133,-120
1186,-98
479,-97
3106,-120
262,-102
2867,-99
1438,-97
970,-95
1441,-93
468,-86
507,-87
463,-96
474,-90
2404,-99
1918,-100
485,-97
470,-95
967,-96
986,-96
447,-98
989,-90
457,-99
2403,-96
1437,-98
2401,-99
3090,-120
3091,-120
3096,-120
2252,-100
3110,-120
3107,-120
490,-99
3089,-120
3140,-120
489,-95
963,-100
482,-101
2879,-105
969,-97
1436,-96
478,-90
1433,-100
486,-92
2410,-95
468,-93
476,-101
487,-96
1918,-92
482,-82
478,-95
1440,-98
3108,-120
255,-91
480,-96
474,-89
969,-96
959,-99
471,-99
960,-92
973,-102
2399,-98
1433,-98
3097,-120
3155,-120
465,-96
3117,-120
3113,-120
495,-98
3100,-120
2683,-97
3100,-120
1198,-95
475,-100
2400,-96
3099,-120
1704,-101
479,-98
1942,-97
940,-89
476,-97
985,-96
939,-94
482,-98
966,-91
465,-98
960,-93
1925,-96
474,-89
1918,-91
3104,-120
271,-91
946,-92
2430,-96
3150,-120
662,-97
3106,-120
1708,-96
2395,-101
3103,-120
3103,-120
2428,-99
3113,-120
3104,-120
3106,-120
1242,-98
3130,-120
3154,-120
432,-96
2905,-92
458,-93
476,-94
3109,-120
249,-91
1460,-100
466,-90
1913,-84
488,-93
479,-94
980,-99
1422,-96
489,-93
2385,-90
2883,-97
487,-96
470,-96
963,-94
2416,-97
3090,-120
731,-97
3089,-120
1720,-98
3103,-120
3089,-120
3086,-120
3091,-120
1081,-98
3152,-120
2118,-101
960,-95
3090,-120
745,-98
3123,-120
242,-96
1443,-99
1439,-97
957,-99
473,-96
489,-94
477,-94
2400,-102
478,-95
505,-87
471,-82
472,-88
952,-83
481,-80
486,-78
475,-78
478,-79
485,-78
471,-75
481,-89
484,-79
481,-77
471,-80
482,-76
486,-88
481,-96
480,-81
479,-80
486,-81
475,-78
478,-81
481,-82
496,-83
456,-88
484,-94
485,-95
480,-84
489,-94
469,-90
962,-73
489,-81
465,-81
482,-85
478,-84
483,-93
478,-88
481,-87
483,-82
479,-85
492,-88
462,-87
486,-94
475,-89
977,-97
465,-93
484,-90
